area,birth_year,hispanic,race,education,marital_status,gender_birth,gender_identity,rsv_vaccine,covid_vaccine,covid_ever,covid_symptoms,covid_long,household_income,employed,religious_attendance,difficulty_with_expenses,housing,medicare
Riverside-San Bernardino-Ontario,1945,Hispanic or Latino,White,Bachelor's degree,Widowed,Male,NA,No,Yes,No,0,Never had COVID-19,6,Retired,0,1,Own,Yes
Riverside-San Bernardino-Ontario,1949,Not Hispanic or Latino,White,Some college,Widowed,Female,Female,No,No,Yes,2,No,2,Neither Employed nor Retired,1,3,Own with mortgage,Yes
Riverside-San Bernardino-Ontario,1987,Hispanic or Latino,White,Bachelor's degree,Married,Female,Female,NA,Yes,No,0,Never had COVID-19,7,Neither Employed nor Retired,0,1,Own,No
San Francisco-Oakland-Berkeley,1976,Hispanic or Latino,Asian,Bachelor's degree,Married,Male,Male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Los Angeles-Long Beach-Anaheim,1952,Hispanic or Latino,White,Some college,Married,Female,NA,NA,NA,NA,NA,NA,NA,Retired,NA,NA,NA,NA
San Francisco-Oakland-Berkeley,1989,Hispanic or Latino,Black,Some college,Single never married,Female,Female,NA,Yes,Yes,1,No,1,Neither Employed nor Retired,12,2,Rent,No
Los Angeles-Long Beach-Anaheim,1969,Not Hispanic or Latino,White,Bachelor's degree,Married,Female,Female,NA,Yes,Yes,2,No,8,Employed,0,1,Own with mortgage,No
Los Angeles-Long Beach-Anaheim,1991,Not Hispanic or Latino,White,Graduate degree,Married,Female,NA,NA,Yes,Yes,3,Yes,8,Neither Employed nor Retired,4,1,Own with mortgage,No
San Francisco-Oakland-Berkeley,1991,Hispanic or Latino,White,Graduate degree,Married,Male,NA,NA,Yes,Yes,3,No,8,Employed,4,1,Rent,No
San Francisco-Oakland-Berkeley,1950,Hispanic or Latino,White,Associate's degree,Married,Male,Male,No,Yes,Yes,3,No,5,Retired,1,2,Own with mortgage,No
None/Other,1970,Not Hispanic or Latino,White,Graduate degree,Married,Female,NA,NA,Yes,Yes,3,No,5,Neither Employed nor Retired,12,2,Own with mortgage,No
Los Angeles-Long Beach-Anaheim,1963,Hispanic or Latino,White,High school graduate,Divorced,Female,NA,Yes,Yes,Yes,4,Yes,1,Retired,12,1,Own,Yes
Los Angeles-Long Beach-Anaheim,1986,Hispanic or Latino,Black,Some high school,Single never married,Female,NA,NA,NA,NA,NA,NA,NA,Neither Employed nor Retired,NA,NA,NA,NA
San Francisco-Oakland-Berkeley,1967,Hispanic or Latino,Asian,Graduate degree,Married,Male,NA,NA,Yes,Yes,2,No,8,Employed,1,1,Own with mortgage,NA
Los Angeles-Long Beach-Anaheim,1946,Hispanic or Latino,White,Bachelor's degree,Widowed,Female,Female,Yes,Yes,No,0,Never had COVID-19,4,Retired,12,3,Own with mortgage,Yes
San Francisco-Oakland-Berkeley,1960,Hispanic or Latino,Asian,Some college,Widowed,Male,NA,No,Yes,Yes,3,Yes,7,Employed,12,1,Rent,No
None/Other,1946,Hispanic or Latino,White,Some college,Married,Female,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
None/Other,1982,Hispanic or Latino,Asian,Some college,Married,Male,NA,NA,Yes,No,0,Never had COVID-19,6,Employed,0,4,Rent,No
San Francisco-Oakland-Berkeley,1956,Hispanic or Latino,White,Bachelor's degree,Widowed,Female,Female,No,Yes,No,0,Never had COVID-19,7,Employed,0,2,Rent,Yes
San Francisco-Oakland-Berkeley,1981,Hispanic or Latino,White,Bachelor's degree,Single never married,Female,Female,NA,Yes,Yes,3,No,8,Employed,1,2,Rent,No
Los Angeles-Long Beach-Anaheim,1979,Not Hispanic or Latino,White,High school graduate,Single never married,Female,NA,NA,Yes,No,0,Never had COVID-19,6,Employed,0,4,Rent,No
Los Angeles-Long Beach-Anaheim,1995,Hispanic or Latino,White,Graduate degree,Married,Female,NA,NA,Yes,Yes,2,No,7,Employed,12,3,Rent,NA
San Francisco-Oakland-Berkeley,1954,Hispanic or Latino,White,Bachelor's degree,Married,Female,NA,No,Yes,No,0,Never had COVID-19,8,Employed,0,1,Own with mortgage,Yes
San Francisco-Oakland-Berkeley,1989,Hispanic or Latino,Asian,Some college,Single never married,Female,NA,NA,Yes,Yes,3,No,5,Employed,0,1,Rent,No
Riverside-San Bernardino-Ontario,1947,Hispanic or Latino,White,Bachelor's degree,Divorced,Female,NA,No,Yes,Yes,3,No,4,Retired,0,1,Own,Yes
San Francisco-Oakland-Berkeley,1966,Hispanic or Latino,White,Bachelor's degree,Married,Male,NA,NA,Yes,Yes,2,No,6,Neither Employed nor Retired,12,4,Rent,No
San Francisco-Oakland-Berkeley,1976,Hispanic or Latino,White,Bachelor's degree,Single never married,Male,NA,NA,Yes,No,0,Never had COVID-19,6,Employed,12,1,Rent,No
San Francisco-Oakland-Berkeley,1991,Hispanic or Latino,White,Graduate degree,Single never married,Male,Male,NA,Yes,Yes,2,No,7,Employed,0,1,Rent,NA
Los Angeles-Long Beach-Anaheim,1964,Hispanic or Latino,Asian,Bachelor's degree,Married,Female,NA,NA,NA,NA,NA,NA,NA,Retired,0,2,NA,NA
San Francisco-Oakland-Berkeley,1968,Hispanic or Latino,White,Graduate degree,Married,Male,Male,NA,Yes,Yes,3,Yes,7,Employed,4,1,Own with mortgage,No
None/Other,1953,Hispanic or Latino,White,Bachelor's degree,Divorced,Female,NA,Yes,Yes,Yes,3,No,1,Neither Employed nor Retired,1,4,Own,Yes
Los Angeles-Long Beach-Anaheim,1945,Hispanic or Latino,White,Some college,Divorced,Male,Male,No,Yes,Yes,1,No,3,Employed,0,4,Own,Yes
Riverside-San Bernardino-Ontario,1975,Hispanic or Latino,White,Some college,Married,Female,NA,NA,Yes,Yes,4,No,7,Employed,0,1,Own with mortgage,NA
Riverside-San Bernardino-Ontario,1957,Not Hispanic or Latino,White,Some college,Married,Male,Male,No,Yes,Yes,2,No,6,Employed,4,2,Own,No
None/Other,1944,Hispanic or Latino,Asian,Graduate degree,Married,Male,Male,Yes,Yes,Yes,3,No,8,Retired,0,1,Own,Yes
San Francisco-Oakland-Berkeley,1960,Hispanic or Latino,White,Bachelor's degree,Divorced,Female,NA,No,Yes,Yes,4,Yes,5,Employed,1,4,Own with mortgage,No
None/Other,1959,Hispanic or Latino,White,Some college,Divorced,Female,Female,Yes,Yes,Yes,3,Yes,NA,Retired,0,2,Own with mortgage,No
San Francisco-Oakland-Berkeley,1991,Not Hispanic or Latino,White,Bachelor's degree,Married,Female,Female,NA,Yes,Yes,3,No,6,Employed,0,1,Own with mortgage,No
Los Angeles-Long Beach-Anaheim,1956,Hispanic or Latino,White,Some college,Divorced,Female,NA,Yes,No,Yes,3,No,1,Retired,0,2,Occupy without rent,Yes
San Francisco-Oakland-Berkeley,1949,Hispanic or Latino,Asian,Some college,Divorced,Female,NA,No,Yes,No,0,Never had COVID-19,1,Retired,12,2,Rent,Yes
Los Angeles-Long Beach-Anaheim,1970,Hispanic or Latino,White,Graduate degree,Married,Female,NA,NA,Yes,Yes,3,No,8,Neither Employed nor Retired,0,1,Own,No
None/Other,1942,Hispanic or Latino,White,Graduate degree,Divorced,Female,Female,No,Yes,Yes,2,No,6,Retired,1,1,Rent,Yes
Riverside-San Bernardino-Ontario,1971,Hispanic or Latino,White,Some college,Married,Female,NA,NA,NA,NA,NA,NA,NA,Employed,NA,NA,NA,NA
Los Angeles-Long Beach-Anaheim,1983,Hispanic or Latino,White,Associate's degree,Single never married,Male,Male,NA,Yes,No,0,Never had COVID-19,4,Employed,0,1,Rent,No
None/Other,1970,Hispanic or Latino,Black,Graduate degree,Single never married,Female,NA,NA,Yes,No,0,Never had COVID-19,6,Employed,12,2,Rent,No
Riverside-San Bernardino-Ontario,1982,Not Hispanic or Latino,White,Associate's degree,Single never married,Female,NA,NA,NA,NA,NA,NA,NA,Employed,0,3,Own with mortgage,NA
Los Angeles-Long Beach-Anaheim,1959,Hispanic or Latino,White,High school graduate,Single never married,Female,NA,No,Yes,Yes,2,No,3,Employed,0,1,Rent,No
Los Angeles-Long Beach-Anaheim,1983,Hispanic or Latino,Black,Graduate degree,Married,Male,NA,NA,Yes,No,0,Never had COVID-19,8,Employed,0,2,Rent,NA
None/Other,1965,Hispanic or Latino,White,Graduate degree,Married,Female,NA,NA,Yes,Yes,2,No,6,Employed,1,1,Own,No
None/Other,1973,Not Hispanic or Latino,White,Graduate degree,Divorced,Female,Female,NA,Yes,Yes,2,Yes,5,Employed,0,2,Rent,No
Riverside-San Bernardino-Ontario,1958,Hispanic or Latino,White,Some college,Divorced,Female,NA,NA,NA,NA,NA,NA,NA,Employed,NA,NA,NA,NA
None/Other,1984,Hispanic or Latino,White,Bachelor's degree,Married,Male,Male,NA,Yes,Yes,1,No,7,Employed,0,3,Rent,No
San Francisco-Oakland-Berkeley,1946,Hispanic or Latino,White,Bachelor's degree,Married,Male,NA,No,Yes,Yes,3,No,6,Retired,12,2,Own with mortgage,Yes
San Francisco-Oakland-Berkeley,1942,Hispanic or Latino,White,Associate's degree,Divorced,Male,NA,No,Yes,Yes,2,Yes,6,Retired,NA,2,Own,NA
San Francisco-Oakland-Berkeley,1970,Hispanic or Latino,White,Bachelor's degree,Married,Male,Male,NA,Yes,Yes,3,No,8,Employed,0,1,Own with mortgage,No
San Francisco-Oakland-Berkeley,1998,Hispanic or Latino,White,Bachelor's degree,Single never married,Male,Male,NA,Yes,Yes,2,No,4,Employed,0,1,Rent,No
None/Other,1980,Hispanic or Latino,White,Bachelor's degree,Married,Male,NA,NA,Yes,No,0,Never had COVID-19,5,Neither Employed nor Retired,0,2,Own with mortgage,No
San Francisco-Oakland-Berkeley,1969,Hispanic or Latino,White,Graduate degree,Married,Female,Female,NA,Yes,Yes,3,Yes,8,Employed,0,2,Own with mortgage,NA
San Francisco-Oakland-Berkeley,1988,Hispanic or Latino,Black,Some college,Single never married,Female,NA,NA,NA,NA,NA,NA,NA,Neither Employed nor Retired,1,NA,NA,NA
Riverside-San Bernardino-Ontario,1973,Not Hispanic or Latino,White,Some college,Married,Male,Male,NA,Yes,Yes,2,No,4,Employed,12,1,Own with mortgage,No
Riverside-San Bernardino-Ontario,1942,Hispanic or Latino,White,Graduate degree,Married,Male,Male,No,Yes,Yes,3,No,8,Retired,0,1,Own,NA
Los Angeles-Long Beach-Anaheim,1972,Hispanic or Latino,White,Some college,Married,Male,NA,NA,Yes,Yes,2,No,8,Employed,4,2,Own with mortgage,No
Riverside-San Bernardino-Ontario,1956,Hispanic or Latino,White,Bachelor's degree,Married,Male,Male,Yes,Yes,Yes,3,No,6,Retired,0,1,Own with mortgage,Yes
San Francisco-Oakland-Berkeley,1977,Hispanic or Latino,White,Graduate degree,Single never married,Male,NA,NA,Yes,Yes,2,No,8,Employed,1,1,Rent,No
Los Angeles-Long Beach-Anaheim,1952,Not Hispanic or Latino,White,Bachelor's degree,Married,Male,NA,No,Yes,Yes,2,No,5,Retired,12,1,Own with mortgage,Yes
Riverside-San Bernardino-Ontario,1963,Hispanic or Latino,White,High school graduate,Single never married,Female,Female,No,Yes,Yes,2,No,1,Employed,0,2,Own,No
Riverside-San Bernardino-Ontario,1967,Not Hispanic or Latino,White,Bachelor's degree,Single never married,Female,NA,NA,Yes,Yes,3,No,2,Employed,0,1,Own with mortgage,NA
San Francisco-Oakland-Berkeley,1986,Hispanic or Latino,White,Graduate degree,Single never married,Female,NA,NA,Yes,Yes,3,No,4,Employed,0,2,Rent,NA
San Francisco-Oakland-Berkeley,1937,Hispanic or Latino,White,Some college,Widowed,Female,Female,Yes,Yes,Yes,2,No,4,Retired,12,1,Own,Yes
None/Other,1961,Hispanic or Latino,White,Bachelor's degree,Widowed,Female,Female,Yes,Yes,No,0,Never had COVID-19,5,Retired,1,1,Own with mortgage,No
San Francisco-Oakland-Berkeley,1985,Hispanic or Latino,White,Graduate degree,Divorced,Male,NA,NA,Yes,Yes,3,No,7,Employed,4,1,Rent,No
Los Angeles-Long Beach-Anaheim,1981,Hispanic or Latino,Asian,Bachelor's degree,Married,Male,Male,NA,Yes,Yes,4,No,6,Employed,12,2,Own with mortgage,No
San Francisco-Oakland-Berkeley,1983,Hispanic or Latino,White,Graduate degree,Single never married,Female,NA,NA,Yes,Yes,3,No,8,Employed,0,1,Rent,No
None/Other,1953,Not Hispanic or Latino,White,Associate's degree,Divorced,Male,Male,No,Yes,No,0,Never had COVID-19,4,Retired,0,2,Rent,Yes
None/Other,1948,Hispanic or Latino,White,Bachelor's degree,Married,Male,Male,No,No,Yes,3,No,3,Retired,12,2,Own,Yes
Los Angeles-Long Beach-Anaheim,1970,Hispanic or Latino,Black,Associate's degree,Married,Female,Female,NA,Yes,Yes,3,Yes,1,Neither Employed nor Retired,1,4,Rent,No
San Francisco-Oakland-Berkeley,1988,Hispanic or Latino,Asian,Graduate degree,Married,Female,NA,NA,Yes,Yes,3,No,8,Employed,0,1,Rent,NA
Los Angeles-Long Beach-Anaheim,1983,Hispanic or Latino,White,Graduate degree,Married,Male,NA,NA,Yes,Yes,2,No,8,Employed,4,1,Own with mortgage,No
None/Other,1993,Hispanic or Latino,White,Associate's degree,Married,Male,NA,NA,Yes,No,0,Never had COVID-19,2,Employed,12,2,Rent,No
San Francisco-Oakland-Berkeley,1980,Hispanic or Latino,White,Bachelor's degree,Married,Male,NA,NA,NA,NA,NA,NA,NA,Employed,NA,NA,NA,NA
None/Other,1989,Not Hispanic or Latino,White,Bachelor's degree,Married,Male,Male,NA,Yes,Yes,3,Yes,7,Employed,0,1,Own with mortgage,No
Riverside-San Bernardino-Ontario,2005,Not Hispanic or Latino,Other/Multiracial,High school graduate,Single never married,Male,Male,NA,NA,NA,NA,NA,NA,Employed,1,3,NA,NA
Los Angeles-Long Beach-Anaheim,2000,Hispanic or Latino,White,Bachelor's degree,Single never married,Female,Female,NA,Yes,Yes,3,No,5,Employed,0,1,Rent,No
Riverside-San Bernardino-Ontario,1957,Hispanic or Latino,White,Bachelor's degree,Married,Female,NA,No,Yes,Yes,3,No,7,Retired,12,1,Own,Yes
San Francisco-Oakland-Berkeley,1945,Hispanic or Latino,Asian,High school graduate,Married,Male,Male,Yes,Yes,Yes,1,NA,1,Retired,0,3,Rent,No
San Francisco-Oakland-Berkeley,1949,Hispanic or Latino,Other/Multiracial,Graduate degree,Married,Male,Male,No,Yes,Yes,2,No,6,Retired,0,1,Own,NA
Riverside-San Bernardino-Ontario,1983,Not Hispanic or Latino,White,Bachelor's degree,Single never married,Male,Male,NA,Yes,Yes,2,No,5,Employed,0,3,Own with mortgage,No
Riverside-San Bernardino-Ontario,1972,Not Hispanic or Latino,White,Bachelor's degree,Married,Female,NA,NA,NA,NA,NA,NA,NA,Employed,NA,NA,NA,NA
Riverside-San Bernardino-Ontario,1972,Hispanic or Latino,Asian,Bachelor's degree,Married,Male,NA,NA,Yes,No,0,Never had COVID-19,7,Neither Employed nor Retired,0,2,Own with mortgage,NA
Riverside-San Bernardino-Ontario,1952,Not Hispanic or Latino,White,Graduate degree,Married,Female,NA,Yes,Yes,Yes,2,No,5,Retired,0,1,Own,Yes
Los Angeles-Long Beach-Anaheim,1939,Hispanic or Latino,White,Bachelor's degree,Married,Male,Male,NA,Yes,No,0,Never had COVID-19,5,Retired,12,1,Own,Yes
Los Angeles-Long Beach-Anaheim,1968,Hispanic or Latino,Asian,Bachelor's degree,Married,Male,Male,NA,Yes,Yes,3,No,6,Employed,0,1,Own with mortgage,No
San Francisco-Oakland-Berkeley,1987,Hispanic or Latino,White,Graduate degree,Married,Female,Female,NA,Yes,Yes,3,No,8,Employed,12,1,Own with mortgage,No
None/Other,1963,Hispanic or Latino,White,High school graduate,Married,Male,NA,NA,NA,NA,NA,NA,NA,Neither Employed nor Retired,0,NA,NA,NA
Riverside-San Bernardino-Ontario,1940,Hispanic or Latino,White,Graduate degree,Widowed,Male,Male,Yes,Yes,Yes,2,No,7,Retired,0,1,Own,NA
Los Angeles-Long Beach-Anaheim,1983,Hispanic or Latino,White,Bachelor's degree,Married,Male,NA,NA,Yes,Yes,3,No,8,Employed,0,1,Own with mortgage,No
None/Other,1942,Hispanic or Latino,White,Bachelor's degree,Widowed,Female,Female,Yes,Yes,No,0,Never had COVID-19,3,Retired,0,1,Own,Yes
None/Other,1987,Hispanic or Latino,Asian,Graduate degree,Married,Male,NA,NA,Yes,Yes,2,No,8,Employed,4,1,Own with mortgage,No
San Francisco-Oakland-Berkeley,1946,Hispanic or Latino,White,Graduate degree,Married,Male,NA,Yes,Yes,No,0,Never had COVID-19,7,Retired,0,1,Rent,Yes
Riverside-San Bernardino-Ontario,1960,Hispanic or Latino,White,Graduate degree,Married,Male,Male,No,Yes,Yes,3,No,8,Employed,1,3,Own,No
San Francisco-Oakland-Berkeley,1990,Hispanic or Latino,Other/Multiracial,Bachelor's degree,Single never married,Female,Female,NA,NA,NA,NA,NA,NA,Employed,NA,NA,NA,NA
San Francisco-Oakland-Berkeley,2005,Not Hispanic or Latino,White,Some college,Single never married,Male,Male,NA,NA,NA,NA,NA,NA,Employed,1,3,Own with mortgage,NA
San Francisco-Oakland-Berkeley,1973,Hispanic or Latino,Asian,Associate's degree,Single never married,Male,Male,NA,Yes,Yes,2,No,4,Employed,1,2,Own with mortgage,No
Riverside-San Bernardino-Ontario,1956,Hispanic or Latino,White,Bachelor's degree,Single never married,Male,NA,No,Yes,No,0,Never had COVID-19,2,Retired,0,3,Own,Yes
San Francisco-Oakland-Berkeley,1957,Hispanic or Latino,White,Some college,Divorced,Male,Male,NA,Yes,No,0,Never had COVID-19,5,Retired,0,1,Own,Yes
San Francisco-Oakland-Berkeley,1951,Hispanic or Latino,White,Bachelor's degree,Married,Female,NA,No,Yes,No,0,Never had COVID-19,3,Retired,4,1,Own,Yes
San Francisco-Oakland-Berkeley,1982,Hispanic or Latino,White,Some college,Single never married,Male,Male,NA,Yes,No,0,Never had COVID-19,6,Employed,0,1,Rent,No
San Francisco-Oakland-Berkeley,1967,Hispanic or Latino,White,Graduate degree,Divorced,Male,Male,NA,Yes,Yes,3,No,4,Neither Employed nor Retired,0,4,Rent,NA
San Francisco-Oakland-Berkeley,1990,Hispanic or Latino,Other/Multiracial,Graduate degree,Married,Male,NA,NA,Yes,Yes,3,No,7,Neither Employed nor Retired,0,2,Own with mortgage,No
None/Other,1971,Not Hispanic or Latino,White,High school graduate,Divorced,Female,Female,NA,NA,NA,NA,NA,NA,Neither Employed nor Retired,NA,NA,NA,NA
None/Other,1950,Hispanic or Latino,White,Bachelor's degree,Married,Male,NA,No,Yes,Yes,2,No,6,Retired,0,1,Own,Yes
Los Angeles-Long Beach-Anaheim,1959,Hispanic or Latino,White,Associate's degree,Widowed,Female,Female,No,Yes,No,0,Never had COVID-19,8,Retired,0,1,Own,NA
Riverside-San Bernardino-Ontario,1960,Hispanic or Latino,White,Associate's degree,Married,Male,Male,No,Yes,Yes,2,No,7,Retired,12,1,Own with mortgage,No
Los Angeles-Long Beach-Anaheim,1968,Hispanic or Latino,Asian,Graduate degree,Married,Male,NA,NA,Yes,Yes,3,No,8,Employed,1,2,Own with mortgage,No
None/Other,1957,Hispanic or Latino,White,Associate's degree,Single never married,Female,NA,Yes,Yes,No,0,Never had COVID-19,5,Neither Employed nor Retired,12,1,Own with mortgage,Yes
San Francisco-Oakland-Berkeley,1950,Hispanic or Latino,White,Graduate degree,Married,Male,NA,No,Yes,Yes,2,No,8,Employed,0,1,Own,Yes
Los Angeles-Long Beach-Anaheim,1954,Hispanic or Latino,White,Bachelor's degree,Single never married,Female,NA,No,Yes,Yes,3,No,1,Retired,12,2,Rent,Yes
Riverside-San Bernardino-Ontario,1951,Hispanic or Latino,White,Some college,Divorced,Female,Female,No,Yes,Yes,3,No,4,Retired,0,2,Own with mortgage,Yes
Riverside-San Bernardino-Ontario,1954,Hispanic or Latino,White,Bachelor's degree,Single never married,Male,Male,Yes,Yes,Yes,3,No,4,Employed,0,1,Own with mortgage,Yes
Los Angeles-Long Beach-Anaheim,1989,Hispanic or Latino,Other/Multiracial,Some college,Married,Female,Female,NA,No,Yes,3,Yes,5,Employed,1,2,Own with mortgage,No
Riverside-San Bernardino-Ontario,1963,Hispanic or Latino,White,Some college,Married,Female,Female,No,Yes,Yes,4,Yes,5,Retired,0,1,Own,No
San Francisco-Oakland-Berkeley,1965,Hispanic or Latino,White,Graduate degree,Married,Male,Male,NA,Yes,Yes,2,No,6,Employed,12,1,Own with mortgage,No
Los Angeles-Long Beach-Anaheim,1969,Hispanic or Latino,White,Bachelor's degree,Married,Female,NA,NA,Yes,No,0,Never had COVID-19,6,Employed,1,1,Own with mortgage,No
Los Angeles-Long Beach-Anaheim,1978,Not Hispanic or Latino,Other/Multiracial,Graduate degree,Married,Male,Male,NA,Yes,Yes,3,Yes,6,Employed,12,2,Rent,No
None/Other,1982,Hispanic or Latino,White,Bachelor's degree,Married,Female,Female,NA,Yes,Yes,2,No,7,Employed,0,1,Own with mortgage,No
Riverside-San Bernardino-Ontario,1948,Hispanic or Latino,White,High school graduate,Widowed,Male,Other,No,No,No,0,Never had COVID-19,1,Retired,12,2,Own,Yes
San Francisco-Oakland-Berkeley,1941,Hispanic or Latino,White,Some college,Married,Female,Female,No,Yes,No,0,Never had COVID-19,5,Retired,12,1,Own,NA
San Francisco-Oakland-Berkeley,1951,Hispanic or Latino,White,Bachelor's degree,Married,Male,NA,Yes,Yes,Yes,2,No,4,Retired,0,1,Own,Yes
San Francisco-Oakland-Berkeley,1984,Not Hispanic or Latino,White,Some college,Married,Female,Female,NA,Yes,Yes,2,Yes,5,Employed,0,2,Rent,No
Los Angeles-Long Beach-Anaheim,1978,Hispanic or Latino,White,Graduate degree,Married,Male,NA,NA,Yes,Yes,2,No,8,Employed,0,1,Own with mortgage,No
None/Other,1967,Hispanic or Latino,White,Some college,Divorced,Female,Female,NA,Yes,Yes,2,No,5,Retired,12,2,Own with mortgage,No
San Francisco-Oakland-Berkeley,1962,Hispanic or Latino,White,Bachelor's degree,Married,Female,Female,No,Yes,Yes,2,Yes,4,Employed,0,3,Own with mortgage,No
None/Other,1956,Hispanic or Latino,White,Associate's degree,Married,Female,Female,No,Yes,No,0,Never had COVID-19,3,Employed,0,1,Own,Yes
None/Other,1996,Not Hispanic or Latino,White,Bachelor's degree,Single never married,Male,Male,NA,Yes,Yes,3,Yes,6,Employed,1,1,Rent,No
San Francisco-Oakland-Berkeley,1938,Hispanic or Latino,White,Graduate degree,Married,Male,NA,No,Yes,No,0,Never had COVID-19,8,Retired,0,1,Own,No
Los Angeles-Long Beach-Anaheim,1969,Not Hispanic or Latino,White,High school graduate,Single never married,Male,Male,NA,Yes,Yes,NA,No,2,Employed,0,3,Own with mortgage,Yes
None/Other,1988,Hispanic or Latino,White,Bachelor's degree,Married,Female,NA,NA,Yes,Yes,3,No,6,Employed,0,4,Own with mortgage,No
None/Other,1983,Not Hispanic or Latino,White,Associate's degree,Married,Male,NA,NA,Yes,Yes,3,No,4,Employed,4,2,Own with mortgage,No
San Francisco-Oakland-Berkeley,1993,Hispanic or Latino,Asian,Bachelor's degree,Married,Female,Female,NA,Yes,Yes,3,No,7,Employed,1,1,Own with mortgage,No
Los Angeles-Long Beach-Anaheim,1985,Hispanic or Latino,Asian,Graduate degree,Married,Male,NA,NA,Yes,No,0,Never had COVID-19,8,Employed,12,2,Own with mortgage,No
San Francisco-Oakland-Berkeley,1957,Hispanic or Latino,White,Bachelor's degree,Divorced,Female,Female,NA,NA,NA,NA,NA,NA,Employed,NA,NA,NA,NA
San Francisco-Oakland-Berkeley,1995,Hispanic or Latino,White,Bachelor's degree,Married,Female,Female,NA,Yes,Yes,3,Yes,7,Employed,12,1,Rent,NA
None/Other,1950,Hispanic or Latino,White,Some college,Married,Male,Male,No,Yes,Yes,2,No,1,Retired,0,1,Own,Yes
Riverside-San Bernardino-Ontario,1966,Hispanic or Latino,White,Some college,Single never married,Male,Male,NA,Yes,No,0,Never had COVID-19,5,Retired,0,1,Own with mortgage,No
Los Angeles-Long Beach-Anaheim,1981,Hispanic or Latino,White,Graduate degree,Married,Female,Female,NA,Yes,Yes,3,No,6,Employed,12,2,Own with mortgage,No
San Francisco-Oakland-Berkeley,1953,Hispanic or Latino,Asian,Associate's degree,Single never married,Male,Male,Yes,Yes,No,0,Never had COVID-19,2,Retired,0,2,Rent,Yes
San Francisco-Oakland-Berkeley,1945,Hispanic or Latino,White,Bachelor's degree,Widowed,Female,Female,Yes,Yes,No,0,Never had COVID-19,4,Retired,0,1,Own with mortgage,Yes
Los Angeles-Long Beach-Anaheim,1974,Hispanic or Latino,White,Bachelor's degree,Married,Female,Female,NA,Yes,Yes,3,No,7,Employed,0,1,Rent,No
None/Other,1981,Not Hispanic or Latino,White,High school graduate,Married,Female,Female,NA,Yes,Yes,3,No,2,Neither Employed nor Retired,1,1,Own,No
Los Angeles-Long Beach-Anaheim,1967,Hispanic or Latino,White,Graduate degree,Divorced,Female,Female,NA,Yes,Yes,3,No,6,Employed,1,2,Own with mortgage,No
San Francisco-Oakland-Berkeley,1963,Hispanic or Latino,White,Graduate degree,Divorced,Male,NA,No,Yes,Yes,2,No,3,Retired,0,1,Own with mortgage,No
None/Other,1982,Hispanic or Latino,White,Graduate degree,Married,Male,NA,NA,Yes,No,0,Never had COVID-19,8,Employed,0,1,Own with mortgage,No
Los Angeles-Long Beach-Anaheim,1953,Hispanic or Latino,Asian,Graduate degree,Widowed,Female,Female,No,Yes,Yes,1,No,5,Retired,12,1,Own with mortgage,Yes
None/Other,1980,Hispanic or Latino,Other/Multiracial,Some college,Divorced,Female,Female,NA,Yes,Yes,2,No,2,Employed,0,4,Rent,NA
Riverside-San Bernardino-Ontario,1980,Hispanic or Latino,White,High school graduate,Divorced,Male,Male,NA,Yes,No,0,Never had COVID-19,5,Employed,0,1,Rent,NA
San Francisco-Oakland-Berkeley,1970,Hispanic or Latino,Asian,Some college,Married,Male,Male,NA,Yes,Yes,3,Yes,8,Employed,0,3,Own with mortgage,No
None/Other,1971,Hispanic or Latino,White,Bachelor's degree,Married,Female,NA,NA,Yes,Yes,2,NA,4,Employed,12,2,Own,NA
Riverside-San Bernardino-Ontario,1959,Hispanic or Latino,White,Graduate degree,Divorced,Female,Female,No,Yes,Yes,2,Yes,5,Employed,1,3,Own,No
Riverside-San Bernardino-Ontario,1980,Hispanic or Latino,White,Some college,Married,Male,NA,NA,Yes,Yes,4,Yes,8,Employed,0,4,Own with mortgage,NA
None/Other,1983,Hispanic or Latino,White,Some college,Single never married,Male,Other,NA,No,No,0,Never had COVID-19,7,Employed,0,2,Rent,No
San Francisco-Oakland-Berkeley,1964,Hispanic or Latino,White,Bachelor's degree,Single never married,Female,NA,No,Yes,Yes,3,No,1,Neither Employed nor Retired,0,1,Rent,NA
Riverside-San Bernardino-Ontario,2005,Hispanic or Latino,White,Some college,Single never married,Male,NA,NA,No,Yes,2,Yes,3,Employed,0,4,Own with mortgage,No
Riverside-San Bernardino-Ontario,1946,Not Hispanic or Latino,White,Associate's degree,Married,Male,NA,No,Yes,Yes,2,No,5,Retired,0,1,Own with mortgage,Yes
San Francisco-Oakland-Berkeley,1967,Hispanic or Latino,White,Bachelor's degree,Single never married,Male,NA,NA,Yes,Yes,2,No,5,Employed,0,1,Own,No
Riverside-San Bernardino-Ontario,1960,Not Hispanic or Latino,Other/Multiracial,Associate's degree,Married,Female,NA,No,Yes,Yes,4,NA,6,Employed,0,2,Own,No
None/Other,1946,Hispanic or Latino,White,Graduate degree,Married,Male,Male,No,Yes,Yes,2,No,8,Retired,0,1,Own,Yes
San Francisco-Oakland-Berkeley,1983,Hispanic or Latino,Other/Multiracial,Bachelor's degree,Married,Female,Female,NA,Yes,No,0,Never had COVID-19,5,Neither Employed nor Retired,0,2,Own with mortgage,No
